"filename", "language", "JavaScript", "PHP", "XML", "JavaScript JSX", "JSON", "PostCSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\factories\ReportFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 9, 4, 24
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\factories\ReportItemsFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 9, 4, 24
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 14, 6, 45
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 6, 6, 50
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 6, 5, 36
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\migrations\2025_02_28_095016_create_reports_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 6, 6, 35
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\migrations\2025_03_01_023521_create_report_items_table.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 6, 4, 28
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\migrations\2025_03_02_013027_create_report_containers_table.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\seeders\DatabaseSeeder.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\seeders\ReportContainerSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\seeders\ReportItemsSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\seeders\ReportSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\package-lock.json", "JSON", 0, 0, 0, 0, 5675, 0, 0, 0, 0, 1, 5676
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\phpunit.xml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 2, 1, 34
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\public\favicon.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\public\index.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 4, 7, 21
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 66, 0, 0, 0, 3, 69
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ApplicationLogo.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\Checkbox.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\DangerButton.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 17, 108
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\InputError.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\InputLabel.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 0, 5, 66
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\NavLink.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\PrimaryButton.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ResponsiveNavLink.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\SecondaryButton.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\my-components\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 1, 9, 151
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\my-components\ScoreIndicator.jsx", "JavaScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 81
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\my-components\TitleWithTooltip.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 1, 1, 26
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\accordion.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\avatar.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 5, 49
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\card.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 9, 51
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\checkbox.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\dialog.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 13, 95
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\navigation-menu.jsx", "JavaScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 12, 105
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\progress.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\scroll-area.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 13, 120
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\sheet.jsx", "JavaScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 14, 109
